race_id,馬,騎手,馬番,走破時間,オッズ,通過順,着順,体重,体重変化,性,齢,斤量,上がり,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名,距離差,日付差,日付1,馬番1,騎手1,斤量1,オッズ1,体重1,体重変化1,上がり1,通過順1,着順1,距離1,クラス1,走破時間1,芝・ダート1,天気1,馬場1,距離差1,日付差1,日付2,馬番2,騎手2,斤量2,オッズ2,体重2,体重変化2,上がり2,通過順2,着順2,距離2,クラス2,走破時間2,芝・ダート2,天気2,馬場2,距離差2,日付差2,日付3,馬番3,騎手3,斤量3,オッズ3,体重3,体重変化3,上がり3,通過順3,着順3,距離3,クラス3,走破時間3,芝・ダート3,天気3,馬場3,距離差3,日付差3,日付4,馬番4,騎手4,斤量4,オッズ4,体重4,体重変化4,上がり4,通過順4,着順4,距離4,クラス4,走破時間4,芝・ダート4,天気4,馬場4,距離差4,日付差4,日付5,馬番5,騎手5,斤量5,オッズ5,体重5,体重変化5,上がり5,通過順5,着順5,距離5,クラス5,走破時間5,芝・ダート5,天気5,馬場5
202210040812,21182,245,11,-2.374480603929078,29.7,13.5,11,476,-12,0,4,57.0,36.8,9.0,12,1734,262,4,0,2600,0,0,0,9,4,0.0,43.0,1693.0,14.0,213,57.0,37.4,488.0,24.0,36.9,14.0,7.0,2600.0,4.0,-2.5672869673332186,0.0,1.0,1.0,0.0,,,14.0,198,57.0,37.4,488.0,24.0,36.9,14.0,7.0,2600.0,4.0,-2.5672869673332186,0.0,1.0,1.0,,,,,216,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,
202210040812,14389,45,12,-2.3704638046914908,73.0,8.0,10,488,-2,0,4,57.0,37.2,12.0,12,1734,262,4,0,2600,0,0,0,9,4,600.0,607.0,1130.0,12.0,211,56.0,8.7,504.0,0.0,35.3,11.25,13.0,2000.0,3.0,-1.0047520639121594,0.0,1.0,0.0,,,,,226,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,
202210040812,284,254,1,-2.4990013802942523,103.9,9.5,15,468,-10,0,3,51.0,39.9,14.0,12,1734,262,4,0,2600,0,0,0,9,4,800.0,427.0,1309.0,12.0,85,54.0,79.3,464.0,0.0,37.7,12.5,12.0,1800.0,3.0,-0.4705177653131855,0.0,1.0,0.0,,,,,226,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,
202210040812,2145,185,10,-2.3222622138404563,3.9,9.5,2,490,0,0,4,57.0,36.0,1.0,12,1734,262,4,0,2600,0,0,0,9,4,0.0,43.0,1693.0,8.0,39,57.0,5.6,490.0,-8.0,38.8,1.0,3.0,2600.0,4.0,-2.5231021757197696,0.0,1.0,1.0,0.0,13.0,1680.0,7.0,103,57.0,30.0,498.0,-10.0,34.6,10.0,3.0,2600.0,4.0,-2.286111020702179,0.0,0.0,0.0,400.0,204.0,1473.0,14.0,96,55.0,30.9,506.0,-4.0,37.4,2.0,8.0,2200.0,4.0,-1.3461799991069916,0.0,0.0,0.0,200.0,14.0,1459.0,4.0,92,56.0,13.4,510.0,-10.0,36.1,8.75,12.0,2000.0,4.0,-0.8480968936462946,0.0,1.0,0.0,0.0,321.0,1142.0,7.0,94,56.0,51.9,520.0,0.0,35.5,7.0,7.0,2000.0,7.0,-0.924416079160434,0.0,1.0,0.0
202210040812,3676,57,14,-2.326279013078042,6.2,5.0,4,466,-4,0,3,50.0,36.5,4.0,12,1734,262,4,0,2600,0,0,0,9,4,0.0,7.0,1728.0,14.0,235,56.0,4.8,470.0,0.0,35.7,3.75,3.0,2600.0,1.0,-2.3383294107908013,0.0,0.0,0.0,0.0,49.0,1680.0,15.0,219,56.0,19.0,470.0,0.0,35.7,1.75,3.0,2600.0,1.0,-2.342346210028387,0.0,0.0,0.0,600.0,77.0,1604.0,11.0,194,56.0,10.0,470.0,-4.0,36.9,3.5,9.0,2000.0,1.0,-0.8440800944087087,0.0,0.0,0.0,-200.0,29.0,1576.0,10.0,62,56.0,10.4,474.0,0.0,36.1,3.25,6.0,2200.0,1.0,-1.4345495823338903,0.0,3.0,1.0,200.0,104.0,1467.0,1.0,198,55.0,11.5,480.0,0.0,35.8,15.75,7.0,2000.0,1.0,-0.8641640905966399,0.0,1.0,0.0
202210040812,5362,166,6,-2.4146485963049407,82.7,9.25,13,502,10,2,3,52.0,38.0,13.0,12,1734,262,4,0,2600,0,0,0,9,4,800.0,134.0,1603.0,3.0,117,56.0,16.2,492.0,-8.0,34.7,5.5,6.0,1800.0,4.0,-0.3098457958097347,0.0,1.0,0.0,-200.0,125.0,1474.0,3.0,33,55.0,6.0,502.0,0.0,36.1,4.25,6.0,2000.0,3.0,-1.044920056288022,0.0,0.0,0.0,,,,,216,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,
202210040812,7324,163,15,-2.2981614184149386,4.3,7.25,1,478,6,0,3,54.0,35.6,2.0,12,1734,262,4,0,2600,0,0,0,9,4,800.0,106.0,1631.0,9.0,201,56.0,8.6,472.0,-2.0,34.5,2.0,4.0,1800.0,4.0,-0.2536106064835267,0.0,1.0,0.0,-600.0,70.0,1562.0,7.0,161,56.0,13.2,482.0,-8.0,34.2,4.0,4.0,2400.0,4.0,-1.8683638999932068,0.0,0.0,0.0,400.0,27.0,1533.0,8.0,153,56.0,3.6,490.0,14.0,36.8,4.25,2.0,2000.0,4.0,-0.8962984844973301,0.0,1.0,1.0,0.0,78.0,1452.0,4.0,148,55.0,29.6,476.0,-4.0,35.9,3.75,5.0,2000.0,7.0,-0.9123656814476752,0.0,1.0,0.0,0.0,42.0,1411.0,9.0,144,55.0,5.2,480.0,-2.0,36.1,3.0,1.0,2000.0,1.0,-0.836046495933536,0.0,0.0,0.0
202210040812,11303,89,9,-2.3704638046914908,46.9,12.0,9,500,4,0,3,54.0,37.0,10.0,12,1734,262,4,0,2600,0,0,0,9,4,0.0,43.0,1693.0,5.0,140,54.0,8.8,496.0,-2.0,40.0,9.75,14.0,2600.0,4.0,-2.6636901490352893,0.0,1.0,1.0,600.0,20.0,1673.0,1.0,76,54.0,17.2,498.0,6.0,38.0,7.25,10.0,2000.0,4.0,-0.7677609088945693,0.0,1.0,0.0,-400.0,15.0,1658.0,4.0,70,53.0,36.0,492.0,12.0,34.3,1.0,2.0,2400.0,4.0,-1.8683638999932068,0.0,1.0,0.0,200.0,104.0,1556.0,5.0,132,56.0,5.3,478.0,-6.0,37.1,1.75,7.0,2200.0,1.0,-1.366263995294923,0.0,1.0,0.0,400.0,22.0,1532.0,5.0,128,56.0,2.2,484.0,0.0,36.0,2.5,3.0,1800.0,1.0,-0.2817282011466307,0.0,0.0,0.0
202210040812,9447,221,7,-2.346363009265973,12.7,7.75,6,488,10,0,3,54.0,36.6,6.0,12,1734,262,4,0,2600,0,0,0,9,4,600.0,113.0,1624.0,3.0,75,56.0,22.7,478.0,-10.0,36.0,7.75,7.0,2000.0,4.0,-0.840063295171122,0.0,0.0,2.0,0.0,27.0,1597.0,3.0,219,56.0,7.1,488.0,-4.0,35.0,2.0,3.0,2000.0,4.0,-0.7516937119442244,0.0,0.0,0.0,-400.0,70.0,1526.0,1.0,38,56.0,32.8,492.0,6.0,34.5,7.25,8.0,2400.0,4.0,-1.896481494656312,0.0,1.0,0.0,400.0,84.0,1439.0,10.0,96,55.0,5.1,486.0,4.0,36.9,12.75,1.0,2000.0,1.0,-0.8521136928838812,0.0,0.0,0.0,200.0,22.0,1418.0,7.0,94,55.0,6.2,482.0,6.0,35.3,7.5,3.0,1800.0,1.0,-0.2576274057211127,0.0,0.0,0.0
202210040812,16281,93,13,-2.482934183343907,7.2,12.0,14,524,2,0,3,54.0,39.5,5.0,12,1734,262,4,0,2600,0,0,0,9,4,300.0,119.0,1618.0,1.0,85,56.0,2.1,522.0,12.0,34.0,1.0,1.0,2300.0,1.0,-1.651456741163549,0.0,0.0,0.0,100.0,105.0,1513.0,4.0,80,56.0,2.3,510.0,-6.0,36.1,1.0,3.0,2200.0,1.0,-1.314045605206302,0.0,1.0,0.0,0.0,15.0,1498.0,3.0,74,56.0,17.8,516.0,-4.0,36.5,1.0,3.0,2200.0,1.0,-1.314045605206302,0.0,0.0,0.0,400.0,14.0,1480.0,8.0,72,55.0,14.8,520.0,0.0,35.4,7.5,7.0,1800.0,3.0,-0.3178793942849068,0.0,1.0,0.0,0.0,,,8.0,70,55.0,14.8,520.0,0.0,35.4,7.5,7.0,1800.0,3.0,-0.3178793942849068,0.0,1.0,0.0
